id,name,population,state,latitude,longitude,created_at,updated_at
1,New York,8363710,NY,40.7127837,-74.0059413,2014-11-01 03:56:32 UTC,2014-11-01 03:56:32 UTC
2,Los Angeles,3833995,CA,34.0522342,-118.2436849,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
3,Chicago,2853114,IL,41.8781136,-87.6297982,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
4,Houston,2242193,TX,29.7601927,-95.36938959999999,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
5,Phoenix,1567924,AZ,33.4483771,-112.0740373,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
6,Philadelphia,1447395,PA,39.952335,-75.16378900000001,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
7,San Antonio,1351305,TX,29.4241219,-98.49362819999999,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
8,Dallas,1279910,TX,32.7801399,-96.80045109999999,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
9,San Diego,1279329,CA,32.715738,-117.1610838,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
10,San Jose,948279,CA,37.3393857,-121.8949555,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
11,Detroit,912062,MI,42.331427,-83.0457538,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
12,San Francisco,808976,CA,37.7749295,-122.4194155,2014-11-01 03:56:33 UTC,2014-11-01 03:56:33 UTC
13,Jacksonville,807815,FL,30.3321838,-81.65565099999999,2014-11-01 03:56:34 UTC,2014-11-01 03:56:34 UTC
14,Indianapolis,798382,IN,39.768403,-86.158068,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
15,Austin,757688,TX,30.267153,-97.7430608,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
16,Columbus,754885,OH,39.9611755,-82.99879419999999,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
17,Fort Worth,703073,TX,32.7554883,-97.3307658,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
18,Charlotte,687456,NC,35.2270869,-80.8431267,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
19,Memphis,669651,TN,35.1495343,-90.0489801,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
20,Baltimore,636919,MD,39.2903848,-76.6121893,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
21,El Paso,613190,TX,31.7775757,-106.4424559,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
22,Boston,609023,MA,42.3584308,-71.0597732,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
23,Milwaukee,604477,WI,43.0389025,-87.9064736,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
24,Denver,598707,CO,39.737567,-104.9847179,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
25,Seattle,598541,WA,47.6062095,-122.3320708,2014-11-01 03:56:35 UTC,2014-11-01 03:56:35 UTC
26,Nashville,596462,TN,36.166667,-86.783333,2014-11-01 03:56:36 UTC,2014-11-01 03:56:36 UTC
27,Washington,591833,DC,38.9071923,-77.0368707,2014-11-01 03:56:36 UTC,2014-11-01 03:56:36 UTC
28,Las Vegas,558383,NV,36.1699412,-115.1398296,2014-11-01 03:56:36 UTC,2014-11-01 03:56:36 UTC
49,Honolulu,374676,HI,21.3069444,-157.8583333,2014-11-01 03:56:37 UTC,2014-11-01 03:56:37 UTC
50,Arlington,374417,TX,32.735687,-97.10806559999999,2014-11-01 03:56:37 UTC,2014-11-01 03:56:37 UTC
51,Wichita,366046,KS,37.688889,-97.336111,2014-11-01 03:56:37 UTC,2014-11-01 03:56:37 UTC
52,St. Louis,354361,MO,38.6270025,-90.19940419999999,2014-11-01 03:56:37 UTC,2014-11-01 03:56:37 UTC
53,Tampa,340882,FL,27.950575,-82.4571776,2014-11-01 03:56:37 UTC,2014-11-01 03:56:37 UTC
54,Santa Ana,339130,CA,33.7455731,-117.8678338,2014-11-01 03:56:37 UTC,2014-11-01 03:56:37 UTC
55,Anaheim,335288,CA,33.8352932,-117.9145036,2014-11-01 03:56:37 UTC,2014-11-01 03:56:37 UTC
